epoch,step,time,loss.global.train,loss.global.val,loss.crf.train,loss.crf.val,metric.accuracy.train,metric.accuracy.val,lr,checkpoint
0,80,12,1.5151302135443385,1.5104446411132812,1.5151302135443385,1.5104446411132812,0.0,0.0,1.58e-05,no
0,160,11,1.4602271035313605,1.437406301498413,1.4602271035313605,1.437406301498413,0.0,0.0,3.18e-05,no
0,240,11,1.3950280457735063,1.3890023231506348,1.3950280457735063,1.3890023231506348,0.12485342212521824,0.12324490740279623,4.78e-05,no
0,320,11,1.430849328637123,1.4514315128326416,1.430849328637123,1.4514315128326416,0.11595317146315332,0.10801874941308351,6.379999999999999e-05,no
0,400,11,1.379953968524933,1.3597502708435059,1.379953968524933,1.3597502708435059,0.2512306570484023,0.24251296755000146,7.98e-05,no
0,480,11,1.323404948413372,1.2319245338439941,1.323404948413372,1.2319245338439941,0.3723751920722036,0.3601334718272675,9.58e-05,no
0,560,11,1.240675911307335,1.159395694732666,1.240675911307335,1.159395694732666,0.38168278683880497,0.3781688645965484,0.0001118,no
0,640,11,1.1247724510729313,0.9312795996665955,1.1247724510729313,0.9312795996665955,0.5121510659683683,0.5386516500641767,0.0001278,no
0,720,11,0.9600021973252296,0.8120781779289246,0.9600021973252296,0.8120781779289246,0.5683988246705859,0.5829816775798766,0.00014380000000000003,no
0,800,11,0.8879166938364506,0.7618087530136108,0.8879166938364506,0.7618087530136108,0.6212346471305384,0.613846734331035,0.0001598,no
0,880,11,0.8179153673350811,0.6636537909507751,0.8179153673350811,0.6636537909507751,0.6237679566608912,0.6614361914715646,0.00017580000000000002,no
0,960,11,0.7820161201059819,0.6590749025344849,0.7820161201059819,0.6590749025344849,0.6550868251019615,0.674791200092692,0.0001918,no
0,1040,11,0.7029666602611542,0.6247624158859253,0.7029666602611542,0.6247624158859253,0.6477287683864542,0.7101058155435513,0.0002078,no
0,1120,11,0.645303589105606,0.5102116465568542,0.645303589105606,0.5102116465568542,0.7052546733603823,0.7412338891921186,0.0002238,no
0,1200,11,0.6929584287106991,0.5835455060005188,0.6929584287106991,0.5835455060005188,0.6889459843142777,0.7306749234409038,0.00023980000000000003,no
0,1280,11,0.6065378695726394,0.4841046631336212,0.6065378695726394,0.4841046631336212,0.7160912772665018,0.7660147367222374,0.00025580000000000004,no
0,1360,11,0.5635613352060318,0.4880126118659973,0.5635613352060318,0.4880126118659973,0.7442373317403428,0.7585261103178081,0.0002718,no
0,1440,11,0.5190715804696083,0.4607403874397278,0.5190715804696083,0.4607403874397278,0.7630769114326644,0.7655564347035231,0.0002878,no
0,1520,11,0.6026164125651121,0.40609708428382874,0.6026164125651121,0.40609708428382874,0.7606677591733233,0.8073546889180923,0.0003038,no
0,1600,11,0.5302055217325687,0.4184686243534088,0.5302055217325687,0.4184686243534088,0.7904026454379386,0.7774561561322906,0.00031979999999999997,no
0,1680,11,0.6009199548512697,0.3670242428779602,0.6009199548512697,0.3670242428779602,0.7476844675550471,0.8308276843091715,0.0003358,no
0,1760,11,0.5454923018813134,0.3548884391784668,0.5454923018813134,0.3548884391784668,0.7855818385772779,0.8177660266953576,0.0003518,no
0,1840,11,0.4258689869195223,0.3552807569503784,0.4258689869195223,0.3552807569503784,0.7786571546715181,0.8224905469276158,0.00036780000000000005,no
1,1920,6,0.4442278519272804,0.37994295358657837,0.4442278519272804,0.37994295358657837,0.7900661801221662,0.8093528488502821,0.0003838,no
1,2000,11,0.5312566474080086,0.39010152220726013,0.5312566474080086,0.39010152220726013,0.7846794392901566,0.8025563064138104,0.0003998,no
1,2080,11,0.45561248548328875,0.4001912474632263,0.45561248548328875,0.4001912474632263,0.7824240505176643,0.8075609258529719,0.0004158,no
1,2160,11,0.5203445203602314,0.37200191617012024,0.5203445203602314,0.37200191617012024,0.8363138959067828,0.8300095898308251,0.00043180000000000003,no
1,2240,11,0.4412933237850666,0.35545748472213745,0.4412933237850666,0.35545748472213745,0.7888300315794894,0.8250954164245698,0.0004478,no
1,2320,11,0.618881344050169,0.3482217490673065,0.618881344050169,0.3482217490673065,0.7879360813069611,0.8208172572195926,0.0004638,no
1,2400,11,0.4890577387064695,0.3418154716491699,0.4890577387064695,0.3418154716491699,0.8007963648832568,0.82780511618693,0.0004798,no
1,2480,11,0.5838542275130749,0.3412656784057617,0.5838542275130749,0.3412656784057617,0.8096186221405435,0.8272940803405592,0.0004958,no
1,2560,11,0.4106565315276384,0.33884552121162415,0.4106565315276384,0.33884552121162415,0.78413403486455,0.8328506432661994,0.0005118000000000001,no
1,2640,11,0.4659570649266243,0.3527602553367615,0.4659570649266243,0.3527602553367615,0.8456016531993642,0.8327058689515393,0.0005278,no
1,2720,11,0.49336760938167573,0.3480760455131531,0.49336760938167573,0.3480760455131531,0.778399533323638,0.8341909467653197,0.0005438,no
1,2800,11,0.4885753199458122,0.35165315866470337,0.4885753199458122,0.35165315866470337,0.8086160720173824,0.8310815355041266,0.0005598,no
1,2880,11,0.3965198270976543,0.3541589379310608,0.3965198270976543,0.3541589379310608,0.8150307337945804,0.8361042734194517,0.0005758,no
1,2960,11,0.46036499477922915,0.3118603229522705,0.46036499477922915,0.3118603229522705,0.8349526482044404,0.8440543564838543,0.0005918,no
1,3040,11,0.3991732347756624,0.40211254358291626,0.3991732347756624,0.40211254358291626,0.7954724794963031,0.8040471153404773,0.0006078,no
1,3120,11,0.45121873132884505,0.30006664991378784,0.45121873132884505,0.30006664991378784,0.8422385968334045,0.8411843045497416,0.0006238,no
1,3200,11,0.39917573519051075,0.31527602672576904,0.39917573519051075,0.31527602672576904,0.8168278667072137,0.8409360156643569,0.0006398,no
1,3280,11,0.3525740135461092,0.31545668840408325,0.3525740135461092,0.31545668840408325,0.8366579677108228,0.8340802219794592,0.0006558000000000001,no
1,3360,11,0.4218200068920851,0.27183330059051514,0.4218200068920851,0.27183330059051514,0.8322402571838834,0.8555378469513166,0.0006718,no
1,3440,11,0.39785800613462924,0.3083706796169281,0.39785800613462924,0.3083706796169281,0.7615649557676931,0.8495611063932592,0.0006878,no
1,3520,11,0.46035707630217076,0.2874673008918762,0.46035707630217076,0.2874673008918762,0.7950212096146008,0.847196427765267,0.0007038,no
1,3600,11,0.42283349521458147,0.2875998914241791,0.42283349521458147,0.2875998914241791,0.8095039857955774,0.8637082524917608,0.0007198,no
1,3680,11,0.35491097923368214,0.25197356939315796,0.35491097923368214,0.25197356939315796,0.8695633691874991,0.8656591319036564,0.0007358,no
1,3760,11,0.35656736996024846,0.26553112268447876,0.35656736996024846,0.26553112268447876,0.8171462298487268,0.8613697423328143,0.0007518000000000001,no
2,3840,11,0.40160886496305465,0.29312998056411743,0.40160886496305465,0.29312998056411743,0.8372634123587339,0.8578739311774508,0.0007678,no
2,3920,11,0.3646617129445076,0.3117983937263489,0.3646617129445076,0.3117983937263489,0.8436085809290743,0.8484361252238333,0.0007838000000000001,no
2,4000,11,0.42904399484395983,0.3212789297103882,0.42904399484395983,0.3212789297103882,0.7588258859491271,0.8413888163779741,0.0007997999999999999,no
2,4080,11,0.3292384838685393,0.3144870400428772,0.3292384838685393,0.3144870400428772,0.8222678578807703,0.8603137153690257,0.0008158,no
2,4160,11,0.4802164800465107,0.32550665736198425,0.4802164800465107,0.32550665736198425,0.7303596896120468,0.8493610832774132,0.0008318,no
2,4240,11,0.4572736360132694,0.28210151195526123,0.4572736360132694,0.28210151195526123,0.8458467338604745,0.857953777001199,0.0008478,no
2,4320,11,0.4646871261298656,0.3274502754211426,0.4646871261298656,0.3274502754211426,0.6955467126106023,0.8511806538510849,0.0008638000000000001,no
2,4400,11,0.43530099764466285,0.2775869369506836,0.43530099764466285,0.2775869369506836,0.818410463931696,0.8643327987967998,0.0008798,no
