epoch,step,time,loss.global.train,loss.global.val,loss.crf.train,loss.crf.val,metric.accuracy.train,metric.accuracy.val,lr,checkpoint
0,80,6,2.504062364373026,1.6865456104278564,2.504062364373026,1.6865456104278564,0.5455868025772039,0.4709662942514712,1.58e-05,no
0,160,5,1.5420203551650047,1.3927068710327148,1.5420203551650047,1.3927068710327148,0.46269671141921725,0.4315326678857776,3.18e-05,no
0,240,5,1.3483113586902618,1.2680994272232056,1.3483113586902618,1.2680994272232056,0.49296389960287235,0.47030035874792603,4.78e-05,no
0,320,5,1.2738062635064125,1.2389267683029175,1.2738062635064125,1.2389267683029175,0.49337068617598345,0.48778185072809166,6.379999999999999e-05,no
0,400,5,1.1883423700928688,1.0719600915908813,1.1883423700928688,1.0719600915908813,0.5399937063434407,0.5435718200050703,7.98e-05,no
0,480,5,1.0822273470461368,0.9184393882751465,1.0822273470461368,0.9184393882751465,0.6056836168926982,0.5956979067974391,9.58e-05,no
0,560,5,0.996440951526165,0.8694389462471008,0.996440951526165,0.8694389462471008,0.5641445488006029,0.6092510327535241,0.0001118,no
0,640,5,0.9108447022736073,0.7182934284210205,0.9108447022736073,0.7182934284210205,0.6661247597843684,0.6847149435669068,0.0001278,no
0,720,5,0.7942885495722294,0.6782625913619995,0.7942885495722294,0.6782625913619995,0.7114698956458565,0.6912883343975869,0.00014380000000000003,no
0,800,5,0.7680161237716675,0.6648385524749756,0.7680161237716675,0.6648385524749756,0.7226685358804317,0.7124130670576438,0.0001598,no
0,880,5,0.7218845427036286,0.5856547355651855,0.7218845427036286,0.5856547355651855,0.6933408236783735,0.7296725386057048,0.00017580000000000002,no
0,960,5,0.710652307420969,0.6073639988899231,0.710652307420969,0.6073639988899231,0.7322329203531227,0.7309676553710165,0.0001918,no
0,1040,5,0.6479592129588128,0.5888352394104004,0.6479592129588128,0.5888352394104004,0.658066067324169,0.7397940904712877,0.0002078,no
0,1120,5,0.6077497176826,0.4997771978378296,0.6077497176826,0.4997771978378296,0.733616701284368,0.7643247801834535,0.0002238,no
