epoch,step,time,loss.global.train,loss.global.val,loss.crf.train,loss.crf.val,metric.accuracy.train,metric.accuracy.val,lr,checkpoint
0,80,19,1.5201222111907187,1.5104613304138184,1.5201222111907187,1.5104613304138184,0.0,0.0,1.58e-05,no
0,160,16,1.4636578947305678,1.443676233291626,1.4636578947305678,1.443676233291626,0.0,0.0,3.18e-05,no
0,240,15,1.4086100921034812,1.4185172319412231,1.4086100921034812,1.4185172319412231,0.0,0.0,4.78e-05,no
0,320,15,1.4652695924043655,1.5012850761413574,1.4652695924043655,1.5012850761413574,0.0,0.0,6.379999999999999e-05,no
0,400,15,1.4375319242477418,1.4411847591400146,1.4375319242477418,1.4411847591400146,0.0,0.0,7.98e-05,no
0,480,15,1.413777257502079,1.4016976356506348,1.413777257502079,1.4016976356506348,0.0,0.0,9.58e-05,no
0,560,15,1.4084050059318542,1.4193917512893677,1.4084050059318542,1.4193917512893677,0.0,0.0,0.0001118,no
0,640,15,1.4244678914546967,1.401029348373413,1.4244678914546967,1.401029348373413,0.0,0.0,0.0001278,no
0,720,15,1.399673719704151,1.4026947021484375,1.399673719704151,1.4026947021484375,0.0,0.0,0.00014380000000000003,no
0,800,15,1.4134009823203086,1.4017482995986938,1.4134009823203086,1.4017482995986938,0.0,0.0,0.0001598,no
0,880,15,1.3982344433665275,1.3720386028289795,1.3982344433665275,1.3720386028289795,0.11124427249553737,0.09073173918531934,0.00017580000000000002,no
0,960,15,1.38048148304224,1.3383841514587402,1.38048148304224,1.3383841514587402,0.2546554051998795,0.21532264725810835,0.0001918,no
0,1040,15,1.2765389278531074,1.1423983573913574,1.2765389278531074,1.1423983573913574,0.45286106394699555,0.467870536091287,0.0002078,no
0,1120,15,1.001655986905098,0.810771107673645,1.001655986905098,0.810771107673645,0.5963001322166329,0.6089566986668956,0.0002238,no
0,1200,15,0.8470065012574196,0.740783154964447,0.8470065012574196,0.740783154964447,0.6606037606438278,0.6540165609372972,0.00023980000000000003,no
0,1280,15,0.683009821176529,0.5863348245620728,0.683009821176529,0.5863348245620728,0.7033132496557136,0.7092302849842338,0.00025580000000000004,no
0,1360,15,0.585358341038227,0.5195174217224121,0.585358341038227,0.5195174217224121,0.7563621559893692,0.7392256251339121,0.0002718,no
